,,,Party,Won,Total,,,,
Peddapuram,39,CHINA RAJAPPA NIMMAKAYALA,Telugu Desam,135,DAVULURI DORABABU,Yuvajana Sramika Rythu Congress Party,11,40451,15/15
Penamaluru,78,BODE PRASAD,Telugu Desam,135,JOGI RAMESH,Yuvajana Sramika Rythu Congress Party,11,59915,23/23
Pendurthi,31,PANCHAKARLA RAMESH BABU,Janasena Party,21,ANNAMREDDY ADEEP RAJ,Yuvajana Sramika Rythu Congress Party,11,81870,22/22
Penukonda,158,S. SAVITHA,Telugu Desam,135,K.V. USHA SHRICHARAN,Yuvajana Sramika Rythu Congress Party,11,33388,19/19
Pileru,163,NALLARI KISHAN KUMAR REDDY,Telugu Desam,135,CHINTHALA RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Party,11,25081,21/21
Pithapuram,37,KONIDALA PAWAN KALYAN,Janasena Party,21,VANGA GEETHA VISWANATH,Yuvajana Sramika Rythu Congress Party,11,70279,18/18
Polavaram,67,CHIRRI BALARAJU,Janasena Party,21,TELLAM RAJYA LAKSHMI,Yuvajana Sramika Rythu Congress Party,11,7935,21/21
Ponnur,88,DHULIPALLA NARENDRA KUMAR,Telugu Desam,135,AMBATI MURALI KRISHNA,Yuvajana Sramika Rythu Congress Party,11,32915,19/19
Prathipadu,36,VARUPULA SATYA PRABHA,Telugu Desam,135,VARUPULA SUBBARAO,Yuvajana Sramika Rythu Congress Party,11,38768,17/17
Prathipadu (SC),93,BURLA RAMANJANEYULU,Telugu Desam,135,BALASANI KIRAN KUMAR,Yuvajana Sramika Rythu Congress Party,11,42015,22/22
Proddatur,132,NANDYALA VARADA RAJULA REDDY,Telugu Desam,135,RACHAMALLU SIVA PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,11,22744,20/20
Pulivendla,129,YS JAGAN MOHAN REDDY,Yuvajana Sramika Rythu Congress Party,11,B.TECH RAVI,Telugu Desam,135,61687,23/23
Punganur,165,PEDDIREDDI RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Party,11,CHALLA RAMACHANDRA REDDY,Telugu Desam,135,6095,19/19
Puthalapattu (SC),173,K MURALI MOHAN,Telugu Desam,135,M SUNEEL KUMAR,Yuvajana Sramika Rythu Congress Party,11,15634,20/20
Puttaparthi,159,PALLE SINDHURA REDDY,Telugu Desam,135,DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party,11,8760,18/18
Rajahmundry City,50,ADIREDDY SRINIVAS,Telugu Desam,135,MARGANI BHARAT RAM,Yuvajana Sramika Rythu Congress Party,11,71404,18/18
Rajahmundry Rural,51,GORANTLA BUTCHAIAH CHOUDARY,Telugu Desam,135,GOPALAKRISHNA CHELLUBOYINA(VENU),Yuvajana Sramika Rythu Congress Party,11,64090,20/20
Rajam,9,KONDRU MURALI MOHAN,Telugu Desam,135,DR. TALE RAJESH,Yuvajana Sramika Rythu Congress Party,11,20722,21/21
Rajampet,125,AKEPATI AMARNATH REDDY,Yuvajana Sramika Rythu Congress Party,11,BALA SUBRAMANYAM SUGAVASI,Telugu Desam,135,7016,21/21
Rajanagaram,49,BATHULA BALARAMAKRISHNA S/O GANGARAO,Janasena Party,21,JAKKAMPUDI RAJA,Yuvajana Sramika Rythu Congress Party,11,34049,16/16
Ramachandrapuram,42,VASAMSETTI. SUBASH,Telugu Desam,135,PILLI SURYA PRAKASH,Yuvajana Sramika Rythu Congress Party,11,26291,25/25
Rampachodavaram,53,MIRIYALA SIRISHA DEVI,Telugu Desam,135,NAGULAPALLI DHANALAKSHMI,Yuvajana Sramika Rythu Congress Party,11,9139,20/20
Raptadu,155,PARITALA SUNITHAMMA,Telugu Desam,135,THOPUDURTHI PRAKASH REDDY,Yuvajana Sramika Rythu Congress Party,11,23329,21/21
Rayachoti,128,MANDIPALLI RAMPRASAD REDDY,Telugu Desam,135,GADIKOTA SRIKANTH REDDY,Yuvajana Sramika Rythu Congress Party,11,2495,21/21
Rayadurg,148,KALAVA SRINIVASULU,Telugu Desam,135,METTU GOVINDA REDDY,Yuvajana Sramika Rythu Congress Party,11,41659,22/22
